,crypto,total_return,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
713,VSYS-USD,-0.6841405934749696,2021-12-31,2024-08-06,949,100.0,31.58594065250304,-68.41405934749696,-97.71939864103102,100.0,0.0,82.86169855196759,158.0,1,0,1,-68.41405934749696,,,,,,,,,,,,,
559,REVV-USD,-0.6858478446012467,2021-12-31,2024-08-06,949,100.0,31.415215539875334,-68.58478446012467,-96.73271059542412,100.0,0.0,80.15100198060723,148.0,1,0,1,-68.58478446012467,,,,,,,,,,,,,
619,STORE-USD,-0.6874850669653434,2022-01-25,2024-08-06,924,100.0,31.251493303465665,-68.74850669653433,-93.1253855776661,100.0,0.0,68.92507190552372,69.0,1,0,1,-68.74850669653433,,,,,,,,,,,,,
365,LDO-USD,-0.690661912424225,2021-12-31,2024-08-06,949,100.0,30.933808757577495,-69.0661912424225,-69.5784590294497,100.0,0.0,71.46077075659049,208.0,1,0,1,-69.0661912424225,,,,,,,,,,,,,
524,POLK-USD,-0.6952713085101072,2021-12-31,2024-08-06,949,100.0,30.472869148989275,-69.52713085101072,-96.5170943559217,100.0,0.0,76.23565569850568,146.0,1,0,1,-69.52713085101072,,,,,,,,,,,,,
752,XNL-USD,-0.6965445597287521,2021-12-31,2024-08-06,949,100.0,30.345544027124788,-69.65445597287521,-98.4153002120618,100.0,0.0,82.58040803041068,146.0,1,0,1,-69.65445597287521,,,,,,,,,,,,,
254,GAFI-USD,-0.6974478688377613,2021-12-31,2024-08-06,949,100.0,30.25521311622387,-69.74478688377613,-97.51315568124973,100.0,0.0,78.00671314652303,155.0,1,0,1,-69.74478688377613,,,,,,,,,,,,,
474,OAS-USD,-0.6985501006310834,2022-12-11,2024-08-06,604,100.0,30.144989936891662,-69.85501006310834,-49.183218116984925,100.0,0.0,79.66988512559541,175.0,1,0,1,-69.85501006310834,,,,,,,,,,,,,
531,PRE-USD,-0.7000507246197533,2021-12-31,2024-08-06,949,100.0,29.99492753802467,-70.00507246197533,-97.62461174869402,100.0,0.0,73.62061816230857,149.0,1,0,1,-70.00507246197533,,,,,,,,,,,,,
355,KONO-USD,-0.7002528534105923,2021-12-31,2024-08-06,949,100.0,29.97471465894077,-70.02528534105923,-97.79220278722407,100.0,0.0,77.42179823716361,134.0,1,0,1,-70.02528534105923,,,,,,,,,,,,,
256,GARI-USD,-0.7096304928443904,2022-01-17,2024-08-06,932,100.0,29.036950715560963,-70.96304928443904,-98.30977987250415,100.0,0.0,78.80101084995904,157.0,1,0,1,-70.96304928443904,,,,,,,,,,,,,
26,ALEX-USD,-0.7123073943134008,2022-10-10,2024-08-06,666,100.0,28.769260568659917,-71.23073943134008,361.3974141691615,100.0,0.0,87.17792857318214,127.0,1,0,1,-71.23073943134008,,,,,,,,,,,,,
738,XCAD-USD,-0.717258815569011,2021-12-31,2024-08-06,949,100.0,28.2741184430989,-71.7258815569011,-95.52810722494188,100.0,0.0,85.57740264820775,146.0,1,0,1,-71.7258815569011,,,,,,,,,,,,,
408,MAV-USD,-0.7194584830151709,2022-04-19,2024-08-06,840,100.0,28.05415169848291,-71.94584830151709,-31.544125649211285,100.0,0.0,83.99514131733281,127.0,1,0,1,-71.94584830151709,,,,,,,,,,,,,
673,TURBOS-USD,-0.7197533742908339,2023-05-14,2024-08-06,447,100.0,28.024662570916618,-71.97533742908338,-81.37514122092104,100.0,0.0,81.84566184843118,130.0,1,0,1,-71.97533742908338,,,,,,,,,,,,,
542,PZP-USD,-0.7201216507175056,2023-04-18,2024-08-06,476,100.0,27.98783492824944,-72.01216507175056,-38.64439647029222,100.0,0.0,79.53736472257856,127.0,1,0,1,-72.01216507175056,,,,,,,,,,,,,
719,WEMIX-USD,-0.7233323809600375,2021-12-31,2024-08-06,949,100.0,27.666761903996246,-72.33323809600375,-92.70537237337308,100.0,0.0,78.38792295763082,146.0,1,0,1,-72.33323809600375,,,,,,,,,,,,,
741,XCUR-USD,-0.7272700000304694,2021-12-31,2024-08-06,949,100.0,27.27299999695306,-72.72700000304694,-99.64008826021985,100.0,0.0,84.35865400151853,145.0,1,0,1,-72.72700000304694,,,,,,,,,,,,,
382,LPOOL-USD,-0.7302695536597267,2021-12-31,2024-08-06,949,100.0,26.97304463402733,-73.02695536597267,-97.15472576752089,100.0,0.0,84.03888593657271,106.0,1,0,1,-73.02695536597267,,,,,,,,,,,,,
