,Symbol,Date,Close,rf_pb_20P_30d,lr_pb_10N_30d,Xv_pb_20N_30d,rf_pb_10P_30d,rf_pb_15N_15d,rf_pb_15N_30d,Xv_pb_10N_15d,lr_pb_10N_15d,rf_pb_10N_30d,Xv_pb_10N_30d,rf_pb_20N_30d,rf_pb_10P_15d,lr_pb_10P_30d,Xv_pb_15N_30d,rf_pb_15P_30d,Xv_pb_10P_30d,rf_pb_10N_15d,rf_pb_25N_30d,lr_pb_15N_30d,Xv_pb_15P_30d,score_P_30d,score_P_15d,score_P_7d,score_N_30d,score_N_15d,score_N_7d
4256,ADX-USD,2024-08-05,0.1406434327363968,0.4360138611388612,0.8505527508068751,0.46476126,0.4387795825579223,0.5945572674874144,0.5606738967554186,0.7065377,0.7451505437025681,0.5420782273282275,0.94635284,0.5208282523290261,0.3476824295114077,0.20443194458586533,0.9295768,0.462682355714177,0.02041624,0.5364105636652077,0.5858750792179237,0.8016148328450012,0.08252164,0.2801579887355984,0.3476824295114077,0,0.6917221604148146,0.640193853205726,0
14768,APT-USD,2024-08-05,0.0004058142949361354,0.48366133027210667,0.9970614468004415,0.7738724,0.4012091242091242,0.5589950707617117,0.5051680582059838,0.5845708,0.974137653156277,0.4212561431447255,0.9765772,0.4396644831776411,0.4162265096184437,0.10667891271418117,0.8891345,0.4188115962984385,0.0087918565,0.4854491740915891,0.5380451147207765,0.9946912427037005,0.019310586,0.24660610690199525,0.4162265096184437,0,0.7185538979941258,0.6396786361450009,0
2241,ACH-USD,2024-08-05,0.01819448359310627,0.42451958417399616,0.8711834973409964,0.82023674,0.4624184517917394,0.6151290013091483,0.6045483654240048,0.63435346,0.7775581134794435,0.5243019652706562,0.96319425,0.5362350399858137,0.3850590502676723,0.18537866927158322,0.9346135,0.43250504180641886,0.009606249,0.5450791574982753,0.5716625695054139,0.8226862492323214,0.03832106,0.26606697350719655,0.3850590502676723,0,0.7353897625321256,0.6370207427344605,0
3047,ACS-USD,2024-08-05,0.2522731125354767,0.45111380949967916,0.9517292726779932,0.5741387,0.4088821348335635,0.5976737480656598,0.5821045759795761,0.4567812,0.9673467627511896,0.524221500721501,0.9385474,0.4939958347466085,0.42592155169050316,0.7675075071104437,0.82380486,0.45685308324286666,0.045324117,0.5522034359975537,0.583378936471781,0.9059895024089728,0.34658188,0.40399193354256385,0.42592155169050316,0,0.7080414550125249,0.6347022871551818,0
17618,ASTR-USD,2024-08-05,0.05435352772474289,0.4276517983827767,0.8783777555515284,0.64043665,0.3721900913628854,0.6013077963702966,0.6160597323250776,0.5873876,0.7819916579826092,0.5982257290353268,0.956762,0.5980114330114329,0.38343696827968776,0.16439430910829017,0.96846515,0.32727120386586916,0.008660636,0.5553028247690012,0.6081881146459317,0.8225006911344062,0.07168348,0.23288560578733977,0.38343696827968776,0,0.7439441980041201,0.6261493887979561,0
8262,AKRO-USD,2024-08-05,0.00481115048751235,0.42680770618270636,0.4872374322447778,0.8354214,0.4336892447242971,0.6077610227964331,0.6146010860054977,0.72802484,0.6220843838805861,0.5559369032784932,0.97446525,0.4980184493868704,0.4421558337339957,0.6994687721988021,0.9496858,0.3754709463738876,0.009116613,0.5362614474305653,0.5765792829089694,0.4258614625687868,0.026547905,0.32452418344099954,0.4421558337339957,0,0.6598599916786088,0.6201842512319693,0
229,1CAT-USD,2024-08-05,0.0018490151269361377,0.47908043345543355,0.6616039541627204,0.8354214,0.4855740184473061,0.6107937532239003,0.565527469653109,0.72802484,0.6527243328239225,0.5016409631075532,0.98385656,0.45999597186439284,0.411602701061323,0.505167009552776,0.9306554,0.43069669737307437,0.00571151,0.498800769219887,0.5670438548866993,0.5763055665049857,0.026547905,0.32325601332800336,0.411602701061323,0,0.6746239624229912,0.6170873503500175,0
8665,AKT-USD,2024-08-05,2.5688202381134033,0.47433439750891215,0.6167750826528569,0.44855,0.3971808639889523,0.5742523484749337,0.550339280817222,0.68876916,0.7251587060161272,0.5154161562122088,0.7897859,0.5825890359640359,0.3943780363269337,0.672443446093107,0.96048135,0.34272903423290674,0.037066516,0.49389258119245016,0.4539193722943724,0.5232848152695642,0.2347327,0.3527114712103603,0.3943780363269337,0,0.6102842684483496,0.6141515790582808,0
6357,AI-USD,2024-08-05,0.0486026369035244,0.4614612258093495,0.8972050044815121,0.4819981,0.4355906201641494,0.5257572427572427,0.5214748614646448,0.54038227,0.8260881528208919,0.5149102262116969,0.8734365,0.5131398160774927,0.4569442352564693,0.19389109470544563,0.8937978,0.44355711240177775,0.055714805,0.5773498852248852,0.4780096627228979,0.8574008955566449,0.036162674,0.27755076875501367,0.4569442352564693,0,0.6717968369474777,0.6135431501011673,0
18021,ATA-USD,2024-08-05,0.07011965662240982,0.42013542707292706,0.908654765002948,0.5592719,0.39590861862973237,0.5990308966360437,0.5846737857553076,0.5007125,0.7935306830142665,0.5666458152958156,0.91036487,0.4931016456024192,0.3654407657363416,0.1917213388401308,0.95776665,0.45044802098486303,0.012119325,0.5749921472862648,0.5518378109306554,0.8812408369191987,0.018734006,0.25401502377667373,0.3654407657363416,0,0.7138960354644481,0.6124761254520716,0
9874,ALGO-USD,2024-08-05,0.11269797384738922,0.43562793712042436,0.9012345285433072,0.64398724,0.41241490761633626,0.5809279024080495,0.5972062532877751,0.52603984,0.8084213617161679,0.5645945165945168,0.9215511,0.4977639832647571,0.3489689042644802,0.18123239280276196,0.85947514,0.45565022237824093,0.02680542,0.5552535802976979,0.5891321832250277,0.8628227509973307,0.060348753,0.268040785291774,0.3489689042644802,0,0.7149267238992262,0.6122804294420817,0
11486,AMB-USD,2024-08-05,0.007883364334702492,0.4147454090027621,0.6081277880877285,0.8989773,0.420287762890704,0.5971641605943078,0.5873563082981241,0.5843483,0.7696232460099524,0.5809631423787772,0.9859081,0.5187066520343158,0.3532685111815143,0.8607342724903684,0.89633304,0.3902651456386751,0.012364706,0.5192274226318346,0.6094642214510633,0.5154210711296002,0.02698023,0.3469143028990354,0.3532685111815143,0,0.6890067405790677,0.6111285094581325,0
1435,AAVE-USD,2024-08-05,104.51553344726562,0.24910211928594278,0.16457823536443747,0.08873724,0.2196474358974359,0.26847781697236056,0.2772526085026085,0.16266792,0.16679551865151934,0.3489968966969474,0.003274842,0.333267712982042,0.22449670182758413,0.5999672333609629,0.26263183,0.2294435091052738,0.043531526,0.3352815207668149,0.2752672466422466,0.06767011786871767,0.02117712,0.2203962333855452,0.22449670182758413,0,0.20656960856527606,0.2381519779831236,0
